price,year,age_years,listed_date,mileage,make_name,model_name,trim_name,body_type,transmission,fuel_type,wheel_system,engine_disp_l,cylinders_num,engine_type_std,fleet,frame_damaged,has_accidents,fleet_unknown,frame_damaged_unknown,has_accidents_unknown,disp_missing,etype_missing,log_mileage,age_sq,pred_price,residual
23141.0,2019.0,0.0,2019-04-06,7.0,Jeep,Renegade,Latitude FWD,SUV / Crossover,A,Gasoline,FWD,1.3,4.0,I4,0,0,0,False,False,False,False,False,0.8450980400142568,0.0,21559.420810204185,-1581.5791897958152
46500.0,2020.0,0.0,2020-02-15,8.0,Land Rover,Discovery Sport,S AWD,SUV / Crossover,A,Gasoline,AWD,2.0,4.0,I4,0,0,0,False,False,False,False,False,0.9030899869919435,0.0,49653.57855959158,3153.5785595915804
67430.0,2020.0,0.0,2020-02-26,11.0,Land Rover,Discovery,V6 HSE AWD,SUV / Crossover,A,Gasoline,AWD,3.0,6.0,V6,0,0,0,False,False,False,False,False,1.0413926851582251,0.0,70410.42593379988,2980.425933799881
48880.0,2020.0,0.0,2020-04-25,7.0,Land Rover,Discovery Sport,S AWD,SUV / Crossover,A,Gasoline,AWD,2.0,4.0,I4,0,0,0,False,False,False,False,False,0.8450980400142568,0.0,49442.62152337199,562.6215233719922
66903.0,2020.0,0.0,2020-01-11,12.0,Land Rover,Range Rover Velar,P250 R-Dynamic S AWD,SUV / Crossover,A,Gasoline,AWD,2.0,4.0,I4,0,0,0,False,False,False,False,False,1.0791812460476249,0.0,66409.04815304474,-493.95184695525677
23695.0,2019.0,0.0,2019-06-20,14.0,Mazda,MAZDA3,Sedan FWD,Sedan,A,Gasoline,FWD,2.5,4.0,I4,0,0,0,False,False,False,False,False,1.146128035678238,0.0,21987.785696842566,-1707.2143031574342
68520.0,2020.0,0.0,2020-07-01,11.0,Land Rover,Range Rover Velar,P250 R-Dynamic S AWD,SUV / Crossover,A,Gasoline,AWD,2.0,4.0,I4,0,0,0,False,False,False,False,False,1.0413926851582251,0.0,66388.5106516088,-2131.489348391202
51245.0,2020.0,0.0,2020-02-26,8.0,Land Rover,Discovery Sport,S AWD,SUV / Crossover,A,Gasoline,AWD,2.0,4.0,I4,0,0,0,False,False,False,False,False,0.9030899869919435,0.0,49653.57855959158,-1591.4214404084196
97579.0,2015.0,2.0,2017-04-06,301.0,Alfa Romeo,4C,Launch Edition Coupe RWD,Coupe,A,Gasoline,RWD,1.7,4.0,I4,0,0,0,False,False,False,False,False,2.4785664955938436,4.0,56632.541154294646,-40946.458845705354
51885.0,2020.0,0.0,2020-03-14,22.0,Land Rover,Range Rover Evoque,P250 S AWD,SUV / Crossover,A,Gasoline,AWD,2.0,4.0,I4,0,0,0,False,False,False,False,False,1.3424226808222062,0.0,50796.447010506905,-1088.552989493095
58995.0,2016.0,1.0,2017-04-25,6903.0,BMW,3 Series,340i xDrive Sedan AWD,Sedan,A,Gasoline,AWD,3.0,6.0,I6,0,0,0,False,False,False,False,False,3.839037873388306,1.0,48741.303260552544,-10253.696739447456
68725.0,2020.0,0.0,2020-02-21,20.0,Land Rover,Range Rover Velar,P250 R-Dynamic S AWD,SUV / Crossover,A,Gasoline,AWD,2.0,4.0,I4,0,0,0,False,False,False,False,False,1.3010299956639813,0.0,66797.14849059506,-1927.8515094049362
23695.0,2019.0,0.0,2019-06-20,204.0,Mazda,MAZDA3,Sedan FWD,Sedan,A,Gasoline,FWD,2.5,4.0,I4,0,0,0,False,False,False,False,False,2.3096301674258988,0.0,21572.6963346911,-2122.3036653089002
23695.0,2019.0,0.0,2019-06-20,61.0,Mazda,MAZDA3,Sedan FWD,Sedan,A,Gasoline,FWD,2.5,4.0,I4,0,0,0,False,False,False,False,False,1.7853298350107671,0.0,21621.48697548665,-2073.5130245133514
52275.0,2020.0,0.0,2020-03-06,6.0,Land Rover,Discovery Sport,SE AWD,SUV / Crossover,A,Gasoline,AWD,2.0,4.0,I4,0,0,0,False,False,False,False,False,0.7781512503836436,0.0,51171.101021804025,-1103.8989781959754
68760.0,2020.0,0.0,2020-08-20,7.0,Land Rover,Range Rover Velar,P250 R-Dynamic S AWD,SUV / Crossover,A,Gasoline,AWD,2.0,4.0,I4,0,0,0,False,False,False,False,False,0.8450980400142568,0.0,66790.15802897386,-1969.841971026137
68760.0,2020.0,0.0,2020-08-27,5.0,Land Rover,Range Rover Velar,P250 R-Dynamic S AWD,SUV / Crossover,A,Gasoline,AWD,2.0,4.0,I4,0,0,0,False,False,False,False,False,0.6989700043360189,0.0,66375.37488780577,-2384.625112194233
53770.0,2020.0,0.0,2020-01-23,8.0,Land Rover,Discovery Sport,SE AWD,SUV / Crossover,A,Gasoline,AWD,2.0,4.0,I4,0,0,0,False,False,False,False,False,0.9030899869919435,0.0,51749.32312423584,-2020.676875764162
23695.0,2019.0,0.0,2019-06-20,17.0,Mazda,MAZDA3,Sedan FWD,Sedan,A,Gasoline,FWD,2.5,4.0,I4,0,0,0,False,False,False,False,False,1.2304489213782739,0.0,21932.50501803862,-1762.4949819613794
